date,ticker,price
2024-01-01,AAPL,148.50787413666131
2024-01-02,AAPL,148.60452898643803
2024-01-03,AAPL,148.8539998764364
2024-01-04,AAPL,150.69052040029365
2024-01-05,AAPL,150.95390007031327
2024-01-06,AAPL,149.99054630030588
2024-01-07,AAPL,151.57062778423798
2024-01-08,AAPL,152.3917580655764
2024-01-09,AAPL,152.49631633878883
2024-01-10,AAPL,153.15896537105945
2024-01-11,AAPL,153.48654613852665
2024-01-12,AAPL,154.14953026902228
2024-01-13,AAPL,155.14481362701653
2024-01-14,AAPL,156.9076121207491
2024-01-15,AAPL,157.14052199464817
2024-01-16,AAPL,157.05632437572038
2024-01-17,AAPL,157.66972335618004
2024-01-18,AAPL,156.38352551150288
2024-01-19,AAPL,154.01909203919772
2024-01-20,AAPL,154.97628346713765
