date,ticker,price
2024-01-01,AAPL,149.63783802289447
2024-01-02,AAPL,149.60593845284214
2024-01-03,AAPL,150.2800789291573
2024-01-04,AAPL,149.47654127197052
2024-01-05,AAPL,150.47061552465956
2024-01-06,AAPL,149.92615789019783
2024-01-07,AAPL,148.58672728118856
2024-01-08,AAPL,149.19759299483727
2024-01-09,AAPL,149.42478614569845
2024-01-10,AAPL,149.9354217781147
2024-01-11,AAPL,149.22402255244057
2024-01-12,AAPL,148.5611031415971
2024-01-13,AAPL,149.91060181126952
2024-01-14,AAPL,150.22437195884658
2024-01-15,AAPL,151.2483682104614
2024-01-16,AAPL,150.16179752268187
2024-01-17,AAPL,149.13950132575647
2024-01-18,AAPL,146.981136883773
2024-01-19,AAPL,147.51710235671092
2024-01-20,AAPL,148.33634230632632
